State,},DC,ToCoda,DC.Coda,Coda,Fine,DC.Fine,Segno,DS.Fine,DS,DS.Coda,:|,{,[,],|:,bar,X,ts,bo,&,$,S,L,E,LEND,ND,
I184,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s261,s262,.,s263,s264,s265,.,.,.,s272,.,.,
I185,s273,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s11,s12,.,s13,s14,s15,.,.,.,s29,.,.,
I186,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s275,s276,.,s277,s278,s279,.,.,.,s274,.,.,
I187,.,.,.,.,.,.,.,.,.,.,.,s280,.,.,.,s188,s189,.,s190,s191,s192,.,.,.,s281,.,.,
I188,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s188,s189,.,s190,s191,s192,.,.,.,s282,.,.,
I189,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,s283,r0,r0,r0,.,.,.,.,.,.,
I190,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I191,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I192,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I193,.,.,.,r0,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I194,.,.,.,.,.,.,.,.,.,.,.,.,.,s284,.,.,.,.,.,.,.,.,.,.,.,.,.,
I195,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s188,s189,.,s190,s191,s192,.,.,.,s285,.,.,
I196,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s287,s288,.,s289,s290,s291,.,.,.,s286,.,.,
I197,.,.,.,.,.,.,.,.,.,.,.,s292,.,.,.,s198,s199,.,s200,s201,s202,.,.,.,s293,.,.,
I198,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s198,s199,.,s200,s201,s202,.,.,.,s294,.,.,
I199,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,.,r0,r0,s295,r0,r0,r0,.,.,.,.,.,.,
I200,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I201,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I202,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I203,.,.,.,.,.,.,r0,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I204,.,.,.,.,.,.,.,.,.,.,.,.,.,s296,.,.,.,.,.,.,.,.,.,.,.,.,.,
I205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s198,s199,.,s200,s201,s202,.,.,.,s297,.,.,
I206,s298,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
I207,.,.,.,.,.,.,.,.,r0,.,.,.,.,.,.,r0s136,r0s137,.,r0s138,r0s139,r0s140,.,.,.,s207,.,.,
I208,.,.,.,.,.,.,.,.,.,.,.,s299,.,s302,.,s209,s210,.,s211,s212,s213,.,.,.,s301,.,s300,
I209,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s209,s210,.,s211,s212,s213,.,.,.,s303,.,.,
I210,.,.,.,.,.,.,.,.,r0,.,.,r0,.,r0,.,r0,r0,s304,r0,r0,r0,.,.,.,.,.,.,
I211,.,.,.,.,.,.,.,.,r0,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I212,.,.,.,.,.,.,.,.,r0,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I213,.,.,.,.,.,.,.,.,r0,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I214,.,.,.,.,.,.,.,.,r0,.,.,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I215,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r0,.,.,.,.,.,
I216,.,.,.,.,s305,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
I217,.,.,.,.,.,.,.,.,.,.,r0,.,.,.,.,r0s143,r0s144,.,r0s145,r0s146,r0s147,.,.,.,s217,.,.,
I218,.,.,.,.,.,.,.,.,.,.,.,s306,.,s309,.,s219,s220,.,s221,s222,s223,.,.,.,s308,.,s307,
I219,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s219,s220,.,s221,s222,s223,.,.,.,s310,.,.,
I220,.,.,.,.,.,.,.,.,.,.,r0,r0,.,r0,.,r0,r0,s311,r0,r0,r0,.,.,.,.,.,.,
I221,.,.,.,.,.,.,.,.,.,.,r0,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I222,.,.,.,.,.,.,.,.,.,.,r0,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I223,.,.,.,.,.,.,.,.,.,.,r0,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I224,.,.,.,.,.,.,.,.,.,.,r0,.,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I225,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s313,s314,.,s315,s316,s317,.,.,.,s312,.,.,
I226,.,.,.,.,.,.,.,.,.,.,.,s318,.,.,.,s227,s228,.,s229,s230,s231,.,.,.,s319,.,.,
I227,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s227,s228,.,s229,s230,s231,.,.,.,s320,.,.,
I228,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,.,r0,r0,s321,r0,r0,r0,.,.,.,.,.,.,
I229,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I230,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I231,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I232,.,.,r0,.,.,r0,.,.,.,r0,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I233,.,.,.,.,.,.,.,.,.,.,.,.,.,s322,.,.,.,.,.,.,.,.,.,.,.,.,.,
I234,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s227,s228,.,s229,s230,s231,.,.,.,s323,.,.,
I235,.,.,.,.,.,.,.,.,.,.,.,s325,.,.,s324,s236,s237,.,s238,s239,s240,.,.,.,s326,.,.,
I236,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s328,s329,.,s330,s331,s332,.,.,.,s327,.,.,
I237,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,s333,r0,r0,r0,.,.,.,.,.,.,
I238,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I239,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I240,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I241,r0,.,.,.,.,.,.,.,.,.,.,.,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I242,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,.,r0s156,r0s157,.,r0s158,r0s159,r0s160,.,.,.,s242,.,.,
I243,.,.,.,.,.,.,.,.,.,.,.,s334,.,s163,.,s156,s157,.,s158,s159,s160,.,.,.,s242,.,s335,
I244,r0,.,.,.,.,.,.,.,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I245,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s337,s338,.,s339,s340,s341,.,.,.,s336,.,.,
I246,.,.,.,.,.,.,.,.,.,.,.,s342,.,.,.,s156,s157,.,s158,s159,s160,.,.,.,s242,.,.,
I247,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,.,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I248,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I249,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0s165,r0s166,.,r0s167,r0s168,r0s169,.,.,.,s249,.,.,
I250,.,.,.,.,.,.,.,.,.,.,.,s343,.,s346,.,s251,s252,.,s253,s254,s255,.,.,.,s345,.,s344,
I251,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s251,s252,.,s253,s254,s255,.,.,.,s347,.,.,
I252,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,s348,r0,r0,r0,.,.,.,.,.,.,
I253,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I254,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I255,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I256,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,r0,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I257,r0,r0,r0,.,.,r0,.,r0,.,.,.,r0,.,r0,.,r0,r0,.,r0,r0,r0,.,.,.,.,.,.,
I258,.,.,.,.,.,.,.,.,.,.,.,.,.,s349,.,.,.,.,.,.,.,.,.,.,.,.,.,
I259,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s108,s109,.,s110,s111,s112,.,.,.,s350,.,.,
I260,.,.,.,.,.,.,.,.,.,.,.,s352,.,.,s351,s261,s262,.,s263,s264,s265,.,.,.,s353,.,.,
I261,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,s355,s356,.,s357,s358,s359,.,.,.,s354,.,.,
